OBJECTID *,District,id,name,region,icao,latitude,longitude,elevation,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,distance
1,Metro,KMIC0,Minneapolis / Brooklyn Center,MN,KMIC,45.062,-93.3539,265,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2021,141477.5288
2,Metro,KFCM0,Minneapolis / Eden Prairie,MN,KFCM,44.8275,-93.4586,276,1/1/2006,7/31/2023,1/2/2006,4/24/2022,1/1/2006,1/1/2022,161733.4969
3,Metro,KSTP0,Saint Paul,MN,KSTP,44.9346,-93.0603,215,11/3/1983,7/31/2023,12/16/1991,4/24/2022,1/1/2005,1/1/2022,165420.3242
4,Metro,72658,Minneapolis-St Paul International,MN,KMSP,44.8667,-93.05,256,1/1/1945,7/31/2023,4/9/1938,7/23/2023,1/1/1938,1/1/2022,172242.0642
5,Metro,KSGS0,Saint Paul / Inver Grove Heights,MN,KSGS,44.8571,-93.0329,250,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,173858.6646
6,Metro,KLVN0,Minneapolis / Lakeville,MN,KLVN,44.6279,-93.2281,293,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2007,1/1/2022,189230.8308
7,Rochester,KFBL0,Faribault,MN,KFBL,44.3275,-93.3107,323,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2007,1/1/2022,217987.1864
8,Rochester,KOWA0,Owatonna / Clinton Falls,MN,KOWA,44.123,-93.2588,349,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,240871.2074
9,"Rochester
",KTOB0,Dodge Center,MN,KTOB,44.018,-92.8315,398,1/1/2006,7/31/2023,1/1/2006,3/30/2022,1/1/2007,1/1/2022,264015.9857
10,Rochester,KAEL0,Albert Lea / Bancroft,MN,KAEL,43.6815,-93.3672,384,1/1/2006,7/31/2023,1/2/2006,4/24/2022,1/1/2006,1/1/2022,285841.1971
11,Rochester,72644,Rochester International Airport,MN,KRST,43.9,-92.5,401,1/1/1973,7/31/2023,1/18/1893,7/23/2023,1/1/1893,1/1/2022,287365.5456
12,"Rochester
",KAUM0,Austin,MN,KAUM,43.6626,-92.9329,376,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2007,1/1/2022,297745.7112
13,"Rochester
",KONA0,Winona / Country Valley Mobile Home Park,MN,KONA,44.0772,-91.7083,200,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,305874.2224
14,Rochester,KFKA0,Preston / Carimona,MN,KFKA,43.6767,-92.1797,389,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2007,1/1/2022,321441.9269
15,Mankato,KULM0,New Ulm / Traulich Estates,MN,KULM,44.3197,-94.5023,308,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,207979.5925
16,Mankato,KMKT0,Mankato / Knollwood Park,MN,KMKT,44.2228,-93.9193,311,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,218899.9143
17,Mankato,KJYG0,St James / Grogan,MN,KJYG,43.9863,-94.5579,325,1/1/2006,7/31/2023,1/3/2006,4/24/2022,1/1/2008,1/1/2022,245312.4346
18,Mankato,KMWM0,Windom / Bingham Lake,MN,KMWM,43.9134,-95.1094,430,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2007,1/1/2022,261445.0342
19,Mankato,KFRM0,Fairmont / Fairmont Estates,MN,KFRM,43.6439,-94.4156,354,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,282380.6301
20,Mankato,KMJQ0,Jackson,MN,KMJQ,43.65,-94.9865,441,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,287643.1524
21,Mankato,KOTG0,Worthington / Sungold Heights Mobile Home Park,MN,KOTG,43.6551,-95.5792,480,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,300338.4339
22,Willmar,KLJF0,Litchfield / Evergreen Mobile Home Park,MN,KLJF,45.1,-94.5,347,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2007,1/1/2022,121977.5892
23,Willmar,KBDH0,Willmar / Parkwood Estates,MN,KBDH,45.117,-95.1293,343,7/24/2007,7/31/2023,7/25/2007,4/24/2022,1/1/2009,1/1/2022,137573.1996
24,Willmar,KHCD0,Hutchinson / Heatwole,MN,KHCD,44.8599,-94.3825,324,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,147285.1918
25,Willmar,KOVL0,Olivia,MN,KOVL,44.7786,-95.0328,328,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,168103.2979
26,Willmar,KMVE0,Montevideo,MN,KMVE,44.9691,-95.7103,316,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,177537.6873
27,Willmar,KGDB0,Granite Falls / Lorne,MN,KGDB,44.7533,-95.556,319,1/1/2006,7/31/2023,1/4/2006,4/24/2022,1/1/2006,1/1/2022,189633.8547
28,Willmar,KDXX0,Madison,MN,KDXX,44.9864,-96.1778,330,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2007,1/1/2022,201852.7667
29,Willmar,KCNB0,Canby,MN,KCNB,44.7295,-96.266,364,10/18/2006,7/31/2023,10/20/2006,4/24/2022,1/1/2009,1/1/2022,226694.564
30,Willmar,KMML0,Marshall,MN,KMML,44.4517,-95.8244,361,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2008,1/1/2022,229334.977
31,Willmar,KTKC0,Tracy,MN,KTKC,44.2491,-95.6073,408,1/1/2006,7/31/2023,1/4/2006,4/1/2022,1/1/2008,1/1/2022,240497.6609
32,Detroit Lakes,KAXN0,Alexandria / Mobile Park Estates,MN,KAXN,45.8663,-95.3947,434,1/1/1973,7/31/2023,1/1/1973,4/24/2022,1/1/1999,1/1/2022,96943.69905
33,Detroit Lakes,KGHW0,Glenwood / Pine Hill Park,MN,KGHW,45.6439,-95.3204,425,1/1/2006,7/31/2023,1/1/2006,4/15/2022,1/1/2006,1/1/2022,103717.2505
